Model,Class,Size,Repeat,Accuracy
NB,9,32,99,0.24858757062146894
TAN,0,32,99,0.7409470752089137
TAN,1,32,99,0.9924242424242424
TAN,2,32,99,0.09595959595959595
TAN,3,32,99,0.6746987951807228
TAN,4,32,99,0.34
TAN,5,32,99,0.1125
TAN,6,32,99,0.5470588235294118
TAN,7,32,99,0.7551020408163265
TAN,8,32,99,0.22289156626506024
TAN,9,32,99,0.10734463276836158
Logistic,0,32,99,0.5292479108635098
Logistic,1,32,99,0.8333333333333334
Logistic,2,32,99,0.18686868686868688
Logistic,3,32,99,0.19879518072289157
Logistic,4,32,99,0.135
Logistic,5,32,99,0.10625
Logistic,6,32,99,0.2
Logistic,7,32,99,0.09523809523809523
Logistic,8,32,99,0.12650602409638553
Logistic,9,32,99,0.12429378531073447
Logistic TAN,0,32,99,0.4011142061281337
Logistic TAN,1,32,99,0.8257575757575758
Logistic TAN,2,32,99,0.20707070707070707
Logistic TAN,3,32,99,0.19879518072289157
Logistic TAN,4,32,99,0.11
Logistic TAN,5,32,99,0.1
Logistic TAN,6,32,99,0.15294117647058825
Logistic TAN,7,32,99,0.20408163265306123
Logistic TAN,8,32,99,0.13253012048192772
Logistic TAN,9,32,99,0.1016949152542373
NB,0,32,100,0.947075208913649
NB,1,32,100,0.946969696969697
NB,2,32,100,0.6666666666666666
NB,3,32,100,0.5963855421686747
NB,4,32,100,0.3
NB,5,32,100,0.075
NB,6,32,100,0.7588235294117647
NB,7,32,100,0.6938775510204082
NB,8,32,100,0.3674698795180723
NB,9,32,100,0.7344632768361582
TAN,0,32,100,0.38997214484679665
TAN,1,32,100,0.9886363636363636
TAN,2,32,100,0.3484848484848485
TAN,3,32,100,0.7650602409638554
TAN,4,32,100,0.2
TAN,5,32,100,0.0375
TAN,6,32,100,0.6764705882352942
TAN,7,32,100,0.5374149659863946
TAN,8,32,100,0.3132530120481928
TAN,9,32,100,0.5932203389830508
Logistic,0,32,100,0.18384401114206128
Logistic,1,32,100,0.8712121212121212
Logistic,2,32,100,0.08585858585858586
Logistic,3,32,100,0.20481927710843373
Logistic,4,32,100,0.085
Logistic,5,32,100,0.18125
Logistic,6,32,100,0.2529411764705882
Logistic,7,32,100,0.19047619047619047
Logistic,8,32,100,0.018072289156626505
Logistic,9,32,100,0.3672316384180791
Logistic TAN,0,32,100,0.23119777158774374
Logistic TAN,1,32,100,0.5833333333333334
Logistic TAN,2,32,100,0.09090909090909091
Logistic TAN,3,32,100,0.22289156626506024
Logistic TAN,4,32,100,0.12
Logistic TAN,5,32,100,0.0375
Logistic TAN,6,32,100,0.27647058823529413
Logistic TAN,7,32,100,0.21768707482993196
Logistic TAN,8,32,100,0.03614457831325301
Logistic TAN,9,32,100,0.3163841807909605
NB,0,40,1,0.8495821727019499
NB,1,40,1,0.9204545454545454
NB,2,40,1,0.6818181818181818
NB,3,40,1,0.6385542168674698
NB,4,40,1,0.715
NB,5,40,1,0.45625
NB,6,40,1,0.5882352941176471
NB,7,40,1,0.6394557823129252
NB,8,40,1,0.5120481927710844
NB,9,40,1,0.5932203389830508
TAN,0,40,1,0.7632311977715878
TAN,1,40,1,0.9507575757575758
TAN,2,40,1,0.23232323232323232
TAN,3,40,1,0.46987951807228917
TAN,4,40,1,0.63
TAN,5,40,1,0.4375
TAN,6,40,1,0.5
TAN,7,40,1,0.5714285714285714
TAN,8,40,1,0.40963855421686746
TAN,9,40,1,0.5084745762711864
Logistic,0,40,1,0.6323119777158774
Logistic,1,40,1,0.8484848484848485
Logistic,2,40,1,0.17676767676767677
Logistic,3,40,1,0.06626506024096386
Logistic,4,40,1,0.47
Logistic,5,40,1,0.16875
Logistic,6,40,1,0.2235294117647059
Logistic,7,40,1,0.30612244897959184
Logistic,8,40,1,0.1144578313253012
Logistic,9,40,1,0.14689265536723164
Logistic TAN,0,40,1,0.5515320334261838
Logistic TAN,1,40,1,0.8939393939393939
Logistic TAN,2,40,1,0.2878787878787879
Logistic TAN,3,40,1,0.09036144578313253
Logistic TAN,4,40,1,0.425
Logistic TAN,5,40,1,0.175
Logistic TAN,6,40,1,0.21176470588235294
Logistic TAN,7,40,1,0.22448979591836735
Logistic TAN,8,40,1,0.13253012048192772
Logistic TAN,9,40,1,0.14124293785310735
NB,0,40,2,0.9136490250696379
NB,1,40,2,0.9659090909090909
NB,2,40,2,0.5555555555555556
NB,3,40,2,0.6265060240963856
NB,4,40,2,0.57
NB,5,40,2,0.2625
NB,6,40,2,0.6411764705882353
NB,7,40,2,0.8095238095238095
NB,8,40,2,0.6204819277108434
NB,9,40,2,0.5988700564971752
TAN,0,40,2,0.5598885793871866
TAN,1,40,2,0.9659090909090909
TAN,2,40,2,0.16161616161616163
TAN,3,40,2,0.6385542168674698
TAN,4,40,2,0.425
TAN,5,40,2,0.39375
TAN,6,40,2,0.8411764705882353
TAN,7,40,2,0.8367346938775511
TAN,8,40,2,0.18072289156626506
TAN,9,40,2,0.5536723163841808
Logistic,0,40,2,0.6155988857938719
Logistic,1,40,2,0.9166666666666666
Logistic,2,40,2,0.15151515151515152
Logistic,3,40,2,0.24096385542168675
Logistic,4,40,2,0.19
Logistic,5,40,2,0.25
Logistic,6,40,2,0.3058823529411765
Logistic,7,40,2,0.17687074829931973
Logistic,8,40,2,0.1686746987951807
Logistic,9,40,2,0.4124293785310734
Logistic TAN,0,40,2,0.5933147632311978
Logistic TAN,1,40,2,0.9583333333333334
Logistic TAN,2,40,2,0.18686868686868688
Logistic TAN,3,40,2,0.3373493975903614
Logistic TAN,4,40,2,0.275
Logistic TAN,5,40,2,0.05
Logistic TAN,6,40,2,0.27058823529411763
Logistic TAN,7,40,2,0.40816326530612246
Logistic TAN,8,40,2,0.09036144578313253
Logistic TAN,9,40,2,0.3389830508474576
NB,0,40,3,0.9025069637883009
NB,1,40,3,0.9583333333333334
NB,2,40,3,0.6818181818181818
NB,3,40,3,0.7048192771084337
NB,4,40,3,0.62
NB,5,40,3,0.2125
NB,6,40,3,0.7
NB,7,40,3,0.5986394557823129
NB,8,40,3,0.39156626506024095
NB,9,40,3,0.8135593220338984
TAN,0,40,3,0.8217270194986073
TAN,1,40,3,0.9772727272727273
TAN,2,40,3,0.25252525252525254
TAN,3,40,3,0.6445783132530121
TAN,4,40,3,0.5
TAN,5,40,3,0.30625
TAN,6,40,3,0.7058823529411765
TAN,7,40,3,0.7482993197278912
TAN,8,40,3,0.3493975903614458
TAN,9,40,3,0.6045197740112994
Logistic,0,40,3,0.6545961002785515
Logistic,1,40,3,0.9545454545454546
Logistic,2,40,3,0.25757575757575757
Logistic,3,40,3,0.24096385542168675
Logistic,4,40,3,0.45
Logistic,5,40,3,0.0875
Logistic,6,40,3,0.1588235294117647
Logistic,7,40,3,0.3673469387755102
Logistic,8,40,3,0.08433734939759036
Logistic,9,40,3,0.4293785310734463
Logistic TAN,0,40,3,0.6935933147632312
Logistic TAN,1,40,3,0.9431818181818182
Logistic TAN,2,40,3,0.23737373737373738
Logistic TAN,3,40,3,0.1686746987951807
Logistic TAN,4,40,3,0.19
Logistic TAN,5,40,3,0.14375
Logistic TAN,6,40,3,0.1588235294117647
Logistic TAN,7,40,3,0.32653061224489793
Logistic TAN,8,40,3,0.10843373493975904
Logistic TAN,9,40,3,0.5480225988700564
NB,0,40,4,0.8997214484679665
NB,1,40,4,0.9583333333333334
NB,2,40,4,0.6767676767676768
NB,3,40,4,0.42771084337349397
NB,4,40,4,0.675
NB,5,40,4,0.45
NB,6,40,4,0.6882352941176471
NB,7,40,4,0.7074829931972789
NB,8,40,4,0.42168674698795183
NB,9,40,4,0.7062146892655368
TAN,0,40,4,0.7938718662952646
TAN,1,40,4,0.9886363636363636
TAN,2,40,4,0.3686868686868687
TAN,3,40,4,0.3614457831325301
TAN,4,40,4,0.455
TAN,5,40,4,0.40625
TAN,6,40,4,0.6294117647058823
TAN,7,40,4,0.5986394557823129
TAN,8,40,4,0.42168674698795183
TAN,9,40,4,0.7796610169491526
Logistic,0,40,4,0.6908077994428969
Logistic,1,40,4,0.9242424242424242
Logistic,2,40,4,0.13636363636363635
Logistic,3,40,4,0.35542168674698793
Logistic,4,40,4,0.295
Logistic,5,40,4,0.16875
Logistic,6,40,4,0.29411764705882354
Logistic,7,40,4,0.17687074829931973
Logistic,8,40,4,0.21084337349397592
Logistic,9,40,4,0.6271186440677966
Logistic TAN,0,40,4,0.5682451253481894
Logistic TAN,1,40,4,0.9507575757575758
Logistic TAN,2,40,4,0.10101010101010101
Logistic TAN,3,40,4,0.2289156626506024
Logistic TAN,4,40,4,0.19
Logistic TAN,5,40,4,0.125
Logistic TAN,6,40,4,0.3411764705882353
Logistic TAN,7,40,4,0.11564625850340136
Logistic TAN,8,40,4,0.13253012048192772
Logistic TAN,9,40,4,0.4576271186440678
NB,0,40,5,0.9665738161559888
NB,1,40,5,0.9696969696969697
NB,2,40,5,0.5303030303030303
NB,3,40,5,0.6265060240963856
NB,4,40,5,0.815
NB,5,40,5,0.35
NB,6,40,5,0.4823529411764706
NB,7,40,5,0.6530612244897959
NB,8,40,5,0.4397590361445783
NB,9,40,5,0.6610169491525424
TAN,0,40,5,0.8050139275766016
TAN,1,40,5,0.9810606060606061
TAN,2,40,5,0.35353535353535354
TAN,3,40,5,0.30120481927710846
TAN,4,40,5,0.48
TAN,5,40,5,0.5
TAN,6,40,5,0.5647058823529412
TAN,7,40,5,0.48299319727891155
TAN,8,40,5,0.43373493975903615
TAN,9,40,5,0.7627118644067796
Logistic,0,40,5,0.40947075208913647
Logistic,1,40,5,0.8106060606060606
Logistic,2,40,5,0.24242424242424243
Logistic,3,40,5,0.1566265060240964
Logistic,4,40,5,0.515
Logistic,5,40,5,0.1875
Logistic,6,40,5,0.17058823529411765
Logistic,7,40,5,0.21768707482993196
Logistic,8,40,5,0.18072289156626506
Logistic,9,40,5,0.3220338983050847
Logistic TAN,0,40,5,0.45403899721448465
Logistic TAN,1,40,5,0.9659090909090909
Logistic TAN,2,40,5,0.1919191919191919
Logistic TAN,3,40,5,0.1566265060240964
Logistic TAN,4,40,5,0.29
Logistic TAN,5,40,5,0.10625
Logistic TAN,6,40,5,0.23529411764705882
Logistic TAN,7,40,5,0.2789115646258503
Logistic TAN,8,40,5,0.08433734939759036
Logistic TAN,9,40,5,0.4067796610169492
NB,0,40,6,0.9554317548746518
NB,1,40,6,0.9848484848484849
NB,2,40,6,0.5
NB,3,40,6,0.8072289156626506
NB,4,40,6,0.77
NB,5,40,6,0.4375
NB,6,40,6,0.5647058823529412
NB,7,40,6,0.5714285714285714
NB,8,40,6,0.4457831325301205
NB,9,40,6,0.711864406779661
TAN,0,40,6,0.7381615598885793
TAN,1,40,6,0.9886363636363636
TAN,2,40,6,0.3434343434343434
TAN,3,40,6,0.3072289156626506
TAN,4,40,6,0.46
TAN,5,40,6,0.575
TAN,6,40,6,0.5705882352941176
TAN,7,40,6,0.6598639455782312
TAN,8,40,6,0.4879518072289157
TAN,9,40,6,0.536723163841808
Logistic,0,40,6,0.6880222841225627
Logistic,1,40,6,0.946969696969697
Logistic,2,40,6,0.17676767676767677
Logistic,3,40,6,0.10843373493975904
Logistic,4,40,6,0.33
Logistic,5,40,6,0.1875
Logistic,6,40,6,0.27058823529411763
Logistic,7,40,6,0.2108843537414966
Logistic,8,40,6,0.13855421686746988
Logistic,9,40,6,0.2824858757062147
Logistic TAN,0,40,6,0.6573816155988857
Logistic TAN,1,40,6,0.9696969696969697
Logistic TAN,2,40,6,0.2222222222222222
Logistic TAN,3,40,6,0.13855421686746988
Logistic TAN,4,40,6,0.285
Logistic TAN,5,40,6,0.2
Logistic TAN,6,40,6,0.27647058823529413
Logistic TAN,7,40,6,0.2585034013605442
Logistic TAN,8,40,6,0.13253012048192772
Logistic TAN,9,40,6,0.21468926553672316
NB,0,40,7,0.9108635097493036
NB,1,40,7,0.946969696969697
NB,2,40,7,0.5707070707070707
NB,3,40,7,0.4879518072289157
NB,4,40,7,0.66
NB,5,40,7,0.1375
NB,6,40,7,0.8529411764705882
NB,7,40,7,0.7755102040816326
NB,8,40,7,0.5662650602409639
NB,9,40,7,0.7853107344632768
TAN,0,40,7,0.7409470752089137
TAN,1,40,7,0.9810606060606061
TAN,2,40,7,0.25252525252525254
TAN,3,40,7,0.5
TAN,4,40,7,0.58
TAN,5,40,7,0.2375
TAN,6,40,7,0.7294117647058823
TAN,7,40,7,0.6462585034013606
TAN,8,40,7,0.4457831325301205
TAN,9,40,7,0.3446327683615819
Logistic,0,40,7,0.5626740947075209
Logistic,1,40,7,0.9166666666666666
Logistic,2,40,7,0.2676767676767677
Logistic,3,40,7,0.14457831325301204
Logistic,4,40,7,0.235
Logistic,5,40,7,0.1125
Logistic,6,40,7,0.09411764705882353
Logistic,7,40,7,0.40816326530612246
Logistic,8,40,7,0.1144578313253012
Logistic,9,40,7,0.23163841807909605
Logistic TAN,0,40,7,0.532033426183844
Logistic TAN,1,40,7,0.9659090909090909
Logistic TAN,2,40,7,0.21717171717171718
Logistic TAN,3,40,7,0.2289156626506024
Logistic TAN,4,40,7,0.31
Logistic TAN,5,40,7,0.09375
Logistic TAN,6,40,7,0.2529411764705882
Logistic TAN,7,40,7,0.41496598639455784
Logistic TAN,8,40,7,0.14457831325301204
Logistic TAN,9,40,7,0.192090395480226
NB,0,40,8,0.8189415041782729
NB,1,40,8,0.9886363636363636
NB,2,40,8,0.8434343434343434
NB,3,40,8,0.4879518072289157
NB,4,40,8,0.69
NB,5,40,8,0.60625
NB,6,40,8,0.5647058823529412
NB,7,40,8,0.5238095238095238
NB,8,40,8,0.3493975903614458
NB,9,40,8,0.5649717514124294
TAN,0,40,8,0.724233983286908
TAN,1,40,8,0.9886363636363636
TAN,2,40,8,0.3888888888888889
TAN,3,40,8,0.4397590361445783
TAN,4,40,8,0.65
TAN,5,40,8,0.55
TAN,6,40,8,0.6764705882352942
TAN,7,40,8,0.5986394557823129
TAN,8,40,8,0.4879518072289157
TAN,9,40,8,0.5536723163841808
Logistic,0,40,8,0.467966573816156
Logistic,1,40,8,0.9621212121212122
Logistic,2,40,8,0.13131313131313133
Logistic,3,40,8,0.20481927710843373
Logistic,4,40,8,0.23
Logistic,5,40,8,0.16875
Logistic,6,40,8,0.18823529411764706
Logistic,7,40,8,0.4013605442176871
Logistic,8,40,8,0.060240963855421686
Logistic,9,40,8,0.11864406779661017
Logistic TAN,0,40,8,0.4735376044568245
Logistic TAN,1,40,8,0.9810606060606061
Logistic TAN,2,40,8,0.3838383838383838
Logistic TAN,3,40,8,0.3132530120481928
Logistic TAN,4,40,8,0.22
Logistic TAN,5,40,8,0.15625
Logistic TAN,6,40,8,0.25882352941176473
Logistic TAN,7,40,8,0.2108843537414966
Logistic TAN,8,40,8,0.060240963855421686
Logistic TAN,9,40,8,0.11299435028248588
NB,0,40,9,0.9610027855153204
NB,1,40,9,0.9545454545454546
NB,2,40,9,0.7070707070707071
NB,3,40,9,0.45180722891566266
NB,4,40,9,0.49
NB,5,40,9,0.43125
NB,6,40,9,0.7411764705882353
NB,7,40,9,0.7278911564625851
NB,8,40,9,0.3614457831325301
NB,9,40,9,0.7175141242937854
TAN,0,40,9,0.7576601671309192
TAN,1,40,9,0.9810606060606061
TAN,2,40,9,0.40404040404040403
TAN,3,40,9,0.42168674698795183
TAN,4,40,9,0.7
TAN,5,40,9,0.4
TAN,6,40,9,0.6294117647058823
TAN,7,40,9,0.6530612244897959
TAN,8,40,9,0.3192771084337349
TAN,9,40,9,0.288135593220339
Logistic,0,40,9,0.6573816155988857
Logistic,1,40,9,0.8977272727272727
Logistic,2,40,9,0.2777777777777778
Logistic,3,40,9,0.25903614457831325
Logistic,4,40,9,0.295
Logistic,5,40,9,0.06875
Logistic,6,40,9,0.17647058823529413
Logistic,7,40,9,0.23129251700680273
Logistic,8,40,9,0.0783132530120482
Logistic,9,40,9,0.2768361581920904
Logistic TAN,0,40,9,0.5125348189415042
Logistic TAN,1,40,9,0.9659090909090909
Logistic TAN,2,40,9,0.21717171717171718
Logistic TAN,3,40,9,0.3072289156626506
Logistic TAN,4,40,9,0.295
Logistic TAN,5,40,9,0.14375
Logistic TAN,6,40,9,0.11176470588235295
Logistic TAN,7,40,9,0.3401360544217687
Logistic TAN,8,40,9,0.05421686746987952
Logistic TAN,9,40,9,0.3050847457627119
NB,0,40,10,0.9052924791086351
NB,1,40,10,0.9659090909090909
NB,2,40,10,0.6313131313131313
NB,3,40,10,0.7168674698795181
NB,4,40,10,0.515
NB,5,40,10,0.23125
NB,6,40,10,0.6647058823529411
NB,7,40,10,0.7142857142857143
NB,8,40,10,0.6204819277108434
NB,9,40,10,0.6836158192090396
TAN,0,40,10,0.8022284122562674
TAN,1,40,10,0.9848484848484849
TAN,2,40,10,0.35858585858585856
TAN,3,40,10,0.39759036144578314
TAN,4,40,10,0.505
TAN,5,40,10,0.3625
TAN,6,40,10,0.611764705882353
TAN,7,40,10,0.5782312925170068
TAN,8,40,10,0.3313253012048193
TAN,9,40,10,0.7288135593220338
Logistic,0,40,10,0.5403899721448467
Logistic,1,40,10,0.9242424242424242
Logistic,2,40,10,0.30808080808080807
Logistic,3,40,10,0.30120481927710846
Logistic,4,40,10,0.155
Logistic,5,40,10,0.09375
Logistic,6,40,10,0.20588235294117646
Logistic,7,40,10,0.48299319727891155
Logistic,8,40,10,0.13855421686746988
Logistic,9,40,10,0.384180790960452
Logistic TAN,0,40,10,0.520891364902507
Logistic TAN,1,40,10,0.8825757575757576
Logistic TAN,2,40,10,0.2777777777777778
Logistic TAN,3,40,10,0.2891566265060241
Logistic TAN,4,40,10,0.16
Logistic TAN,5,40,10,0.05
Logistic TAN,6,40,10,0.14705882352941177
Logistic TAN,7,40,10,0.3945578231292517
Logistic TAN,8,40,10,0.16265060240963855
Logistic TAN,9,40,10,0.4011299435028249
NB,0,40,11,0.8774373259052924
NB,1,40,11,0.9734848484848485
NB,2,40,11,0.7373737373737373
NB,3,40,11,0.7048192771084337
NB,4,40,11,0.63
NB,5,40,11,0.40625
NB,6,40,11,0.7941176470588235
NB,7,40,11,0.8163265306122449
NB,8,40,11,0.5542168674698795
NB,9,40,11,0.7005649717514124
TAN,0,40,11,0.841225626740947
TAN,1,40,11,0.9772727272727273
TAN,2,40,11,0.18181818181818182
TAN,3,40,11,0.4879518072289157
TAN,4,40,11,0.46
TAN,5,40,11,0.375
TAN,6,40,11,0.7705882352941177
TAN,7,40,11,0.7891156462585034
TAN,8,40,11,0.39156626506024095
TAN,9,40,11,0.7005649717514124
Logistic,0,40,11,0.5682451253481894
Logistic,1,40,11,0.946969696969697
Logistic,2,40,11,0.23232323232323232
Logistic,3,40,11,0.18072289156626506
Logistic,4,40,11,0.305
Logistic,5,40,11,0.15625
Logistic,6,40,11,0.29411764705882354
Logistic,7,40,11,0.25170068027210885
Logistic,8,40,11,0.07228915662650602
Logistic,9,40,11,0.3163841807909605
Logistic TAN,0,40,11,0.6267409470752089
Logistic TAN,1,40,11,0.9356060606060606
Logistic TAN,2,40,11,0.13636363636363635
Logistic TAN,3,40,11,0.21084337349397592
Logistic TAN,4,40,11,0.23
Logistic TAN,5,40,11,0.1875
Logistic TAN,6,40,11,0.3764705882352941
Logistic TAN,7,40,11,0.23129251700680273
Logistic TAN,8,40,11,0.04216867469879518
Logistic TAN,9,40,11,0.4011299435028249
NB,0,40,12,0.8662952646239555
NB,1,40,12,0.9545454545454546
NB,2,40,12,0.6565656565656566
NB,3,40,12,0.5903614457831325
NB,4,40,12,0.76
NB,5,40,12,0.33125
NB,6,40,12,0.7235294117647059
NB,7,40,12,0.5782312925170068
NB,8,40,12,0.5301204819277109
NB,9,40,12,0.6610169491525424
TAN,0,40,12,0.83008356545961
TAN,1,40,12,0.9924242424242424
TAN,2,40,12,0.3838383838383838
TAN,3,40,12,0.5060240963855421
TAN,4,40,12,0.575
TAN,5,40,12,0.43125
TAN,6,40,12,0.7647058823529411
TAN,7,40,12,0.5238095238095238
TAN,8,40,12,0.27710843373493976
TAN,9,40,12,0.5141242937853108
Logistic,0,40,12,0.6183844011142061
Logistic,1,40,12,0.9166666666666666
Logistic,2,40,12,0.2828282828282828
Logistic,3,40,12,0.2289156626506024
Logistic,4,40,12,0.26
Logistic,5,40,12,0.21875
Logistic,6,40,12,0.21176470588235294
Logistic,7,40,12,0.12244897959183673
Logistic,8,40,12,0.09036144578313253
Logistic,9,40,12,0.24293785310734464
Logistic TAN,0,40,12,0.5571030640668524
Logistic TAN,1,40,12,0.9166666666666666
Logistic TAN,2,40,12,0.25252525252525254
Logistic TAN,3,40,12,0.26506024096385544
Logistic TAN,4,40,12,0.355
Logistic TAN,5,40,12,0.20625
Logistic TAN,6,40,12,0.20588235294117646
Logistic TAN,7,40,12,0.17687074829931973
Logistic TAN,8,40,12,0.0963855421686747
Logistic TAN,9,40,12,0.3107344632768362
NB,0,40,13,0.83008356545961
NB,1,40,13,0.9583333333333334
NB,2,40,13,0.7424242424242424
NB,3,40,13,0.6445783132530121
NB,4,40,13,0.765
NB,5,40,13,0.50625
NB,6,40,13,0.6588235294117647
NB,7,40,13,0.7074829931972789
NB,8,40,13,0.39759036144578314
NB,9,40,13,0.5310734463276836
TAN,0,40,13,0.7743732590529248
TAN,1,40,13,0.9848484848484849
TAN,2,40,13,0.36363636363636365
TAN,3,40,13,0.5843373493975904
TAN,4,40,13,0.575
TAN,5,40,13,0.5375
TAN,6,40,13,0.5117647058823529
TAN,7,40,13,0.7619047619047619
TAN,8,40,13,0.0963855421686747
TAN,9,40,13,0.672316384180791
Logistic,0,40,13,0.6657381615598886
Logistic,1,40,13,0.946969696969697
Logistic,2,40,13,0.3838383838383838
Logistic,3,40,13,0.1686746987951807
Logistic,4,40,13,0.17
Logistic,5,40,13,0.08125
Logistic,6,40,13,0.3058823529411765
Logistic,7,40,13,0.14285714285714285
Logistic,8,40,13,0.03614457831325301
Logistic,9,40,13,0.3559322033898305
Logistic TAN,0,40,13,0.5793871866295265
Logistic TAN,1,40,13,0.8674242424242424
Logistic TAN,2,40,13,0.2676767676767677
Logistic TAN,3,40,13,0.10240963855421686
Logistic TAN,4,40,13,0.135
Logistic TAN,5,40,13,0.25625
Logistic TAN,6,40,13,0.29411764705882354
Logistic TAN,7,40,13,0.12244897959183673
Logistic TAN,8,40,13,0.030120481927710843
Logistic TAN,9,40,13,0.2542372881355932
NB,0,40,14,0.9331476323119777
NB,1,40,14,0.9696969696969697
NB,2,40,14,0.5808080808080808
NB,3,40,14,0.4879518072289157
NB,4,40,14,0.675
NB,5,40,14,0.34375
NB,6,40,14,0.888235294117647
NB,7,40,14,0.7959183673469388
NB,8,40,14,0.41566265060240964
NB,9,40,14,0.5819209039548022
TAN,0,40,14,0.7576601671309192
TAN,1,40,14,0.9810606060606061
TAN,2,40,14,0.41414141414141414
TAN,3,40,14,0.536144578313253
TAN,4,40,14,0.27
TAN,5,40,14,0.33125
TAN,6,40,14,0.7529411764705882
TAN,7,40,14,0.8707482993197279
TAN,8,40,14,0.24096385542168675
TAN,9,40,14,0.3559322033898305
Logistic,0,40,14,0.6462395543175488
Logistic,1,40,14,0.7651515151515151
Logistic,2,40,14,0.2676767676767677
Logistic,3,40,14,0.21686746987951808
Logistic,4,40,14,0.22
Logistic,5,40,14,0.11875
Logistic,6,40,14,0.18823529411764706
Logistic,7,40,14,0.2653061224489796
Logistic,8,40,14,0.0783132530120482
Logistic,9,40,14,0.20903954802259886
Logistic TAN,0,40,14,0.724233983286908
Logistic TAN,1,40,14,0.9659090909090909
Logistic TAN,2,40,14,0.2828282828282828
Logistic TAN,3,40,14,0.3132530120481928
Logistic TAN,4,40,14,0.285
Logistic TAN,5,40,14,0.05625
Logistic TAN,6,40,14,0.37058823529411766
Logistic TAN,7,40,14,0.272108843537415
Logistic TAN,8,40,14,0.15060240963855423
Logistic TAN,9,40,14,0.23728813559322035
NB,0,40,15,0.9136490250696379
NB,1,40,15,0.8863636363636364
NB,2,40,15,0.6515151515151515
NB,3,40,15,0.5542168674698795
NB,4,40,15,0.73
NB,5,40,15,0.325
NB,6,40,15,0.7941176470588235
NB,7,40,15,0.9115646258503401
NB,8,40,15,0.5240963855421686
NB,9,40,15,0.3333333333333333
TAN,0,40,15,0.7994428969359332
TAN,1,40,15,0.9545454545454546
TAN,2,40,15,0.13636363636363635
TAN,3,40,15,0.572289156626506
TAN,4,40,15,0.635
TAN,5,40,15,0.45
TAN,6,40,15,0.7235294117647059
TAN,7,40,15,0.8503401360544217
TAN,8,40,15,0.5963855421686747
TAN,9,40,15,0.21468926553672316
Logistic,0,40,15,0.42896935933147634
Logistic,1,40,15,0.6515151515151515
Logistic,2,40,15,0.14646464646464646
Logistic,3,40,15,0.18674698795180722
Logistic,4,40,15,0.225
Logistic,5,40,15,0.10625
Logistic,6,40,15,0.11176470588235295
Logistic,7,40,15,0.17006802721088435
Logistic,8,40,15,0.2289156626506024
Logistic,9,40,15,0.0847457627118644
Logistic TAN,0,40,15,0.47075208913649025
Logistic TAN,1,40,15,0.6477272727272727
Logistic TAN,2,40,15,0.19696969696969696
Logistic TAN,3,40,15,0.1746987951807229
Logistic TAN,4,40,15,0.195
Logistic TAN,5,40,15,0.1125
Logistic TAN,6,40,15,0.2411764705882353
Logistic TAN,7,40,15,0.19047619047619047
Logistic TAN,8,40,15,0.16265060240963855
Logistic TAN,9,40,15,0.14124293785310735
NB,0,40,16,0.8440111420612814
NB,1,40,16,0.9696969696969697
NB,2,40,16,0.5050505050505051
NB,3,40,16,0.608433734939759
NB,4,40,16,0.65
NB,5,40,16,0.41875
NB,6,40,16,0.7764705882352941
NB,7,40,16,0.6870748299319728
NB,8,40,16,0.608433734939759
NB,9,40,16,0.8192090395480226
TAN,0,40,16,0.871866295264624
TAN,1,40,16,0.9772727272727273
TAN,2,40,16,0.14646464646464646
TAN,3,40,16,0.5240963855421686
TAN,4,40,16,0.535
TAN,5,40,16,0.5625
TAN,6,40,16,0.8176470588235294
TAN,7,40,16,0.7346938775510204
TAN,8,40,16,0.27710843373493976
TAN,9,40,16,0.6836158192090396
Logistic,0,40,16,0.6350974930362117
Logistic,1,40,16,0.875
Logistic,2,40,16,0.20707070707070707
Logistic,3,40,16,0.25301204819277107
Logistic,4,40,16,0.33
Logistic,5,40,16,0.10625
Logistic,6,40,16,0.3
Logistic,7,40,16,0.19727891156462585
Logistic,8,40,16,0.15060240963855423
Logistic,9,40,16,0.22598870056497175
Logistic TAN,0,40,16,0.7632311977715878
Logistic TAN,1,40,16,0.9015151515151515
Logistic TAN,2,40,16,0.17676767676767677
Logistic TAN,3,40,16,0.21084337349397592
Logistic TAN,4,40,16,0.45
Logistic TAN,5,40,16,0.1375
Logistic TAN,6,40,16,0.3411764705882353
Logistic TAN,7,40,16,0.21768707482993196
Logistic TAN,8,40,16,0.12048192771084337
Logistic TAN,9,40,16,0.3333333333333333
NB,0,40,17,0.8857938718662952
NB,1,40,17,0.9545454545454546
NB,2,40,17,0.6818181818181818
NB,3,40,17,0.6325301204819277
NB,4,40,17,0.565
NB,5,40,17,0.19375
NB,6,40,17,0.711764705882353
NB,7,40,17,0.7278911564625851
NB,8,40,17,0.35542168674698793
NB,9,40,17,0.7062146892655368
TAN,0,40,17,0.7604456824512534
TAN,1,40,17,0.9734848484848485
TAN,2,40,17,0.3838383838383838
TAN,3,40,17,0.4036144578313253
TAN,4,40,17,0.465
TAN,5,40,17,0.33125
TAN,6,40,17,0.5058823529411764
TAN,7,40,17,0.8571428571428571
TAN,8,40,17,0.4939759036144578
TAN,9,40,17,0.5932203389830508
Logistic,0,40,17,0.6462395543175488
Logistic,1,40,17,0.9128787878787878
Logistic,2,40,17,0.3181818181818182
Logistic,3,40,17,0.10843373493975904
Logistic,4,40,17,0.43
